197 125
122 32
237 -66
-173 30
-58 -3
174 133
58 -40
-194 -108
183 -51
246 -39
-153 -118
254 122
103 41
-22 27
-152 -141
255 121
68 9
-9 -105
-19 -110
-28 -78
223 -53
-25 -131
103 -7
76 35
-11 85
279 140
-93 -51
155 -7
286 -59
157 -110
58 -69
-61 -39
103 80
-16 -35
-60 -138
-126 8
-64 132
178 143
163 78
42 -92
-140 -26
-72 -48
-44 -139
293 138
-133 46
-36 10
-175 28
38 -99
-283 40
280 -134
-32 102
133 -4
-267 -48
41 -125
-84 136
177 69
-273 -142
-250 -70
-175 -17
46 -73
136 -28
-92 -44
141 130
-283 124
-291 129
-199 -2
185 -5
161 42
-76 -88
-48 -42
-69 -49
-56 79
-257 107
132 -36
164 1
-236 75
256 -46
-255 73
-172 -142
-46 -86
-162 11
282 71
-219 -53
-226 87
12 124
-88 55
-151 38
251 -95
215 -134
118 66
294 -69
-57 -76
39 76
