94 116 162 225 387 657 1291 3182 10751 37040 28286 20418 5524 1975 912 3594 3353 2706 2138 1672 1243 938 716 538 419 858 955 1035 1085 1033 132 148 230 403 610 1054 2258 6256 24341 30753 36452 11184 3567 1589 839 3669 3650 3361 2619 2153 1440 1110 841 634 538 893 982 1107 1141 1159 105 164 214 334 509 813 1586 3784 12389 41452 31406 23156 6259 2480 1119 3949 3582 2959 2385 1747 1365 951 775 585 494 935 1018 1116 1165 1160 112 157 210 315 507 927 2178 6265 25062 31251 37586 11600 3592 1488 712 3865 3811 3367 2698 2106 1598 1204 898 715 542 926 1001 1152 1208 1182 
1699 2569 3655 4513 4996 4647 3698 2647 1828 1385 1670 2052 2192 2422 2370 895 1475 2678 5268 10387 14957 10254 5031 2592 1381 3608 3706 3547 2839 2283 2183 3010 4197 5044 5081 4154 3259 2221 1564 1142 1883 2259 2463 2665 2320 769 1144 1963 3890 7765 13996 13693 7415 3651 1910 3507 3901 3734 3236 2509 1945 2702 3685 4694 5057 4938 3844 2807 1926 1381 1729 2060 2366 2421 2476 902 1594 2715 5518 11288 15527 10553 5261 2771 1419 3732 3767 3637 2861 2239 2433 3356 4335 5349 5343 4674 3460 2453 1758 1209 2113 2413 2628 2677 2539 754 1227 2091 4011 8189 14838 14584 8050 3895 1977 3636 4059 4001 3400 2751 
5783 5370 4123 2933 1911 1320 867 665 454 367 908 947 1044 1006 1002 258 325 436 680 1109 1749 2948 5227 9055 11084 7602 55435 13520 2728 962 5847 4937 3535 2404 1615 1150 798 606 426 321 976 1031 1055 1101 1052 218 320 471 605 889 1398 2328 3965 7323 11201 4184 22472 42366 6296 1947 6511 5891 4453 3128 2075 1472 981 727 515 397 945 1054 1101 1102 1096 297 389 528 766 1197 1859 3276 5819 9846 12378 9065 62545 15811 3430 1278 6547 5326 3809 2581 1751 1234 860 618 474 372 1034 1104 1102 1074 1131 253 316 450 651 893 1454 2501 4493 7886 11918 4006 23606 45312 6164 1750 
319 470 626 1001 1626 2946 5911 10962 13700 8949 7229 10388 9958 6164 3460 4598 5327 5010 3938 2890 1980 1425 967 703 511 1196 1336 1373 1393 1341 400 551 829 1345 2215 4317 8489 13586 12146 6398 9193 11047 8235 4739 2666 4097 5063 5207 4599 3411 2379 1725 1204 865 588 1131 1321 1406 1358 1335 326 472 726 1091 1843 3237 6316 12184 14884 9903 7798 11417 10823 6717 3804 5022 5769 5302 4131 3116 2182 1554 1025 738 594 1371 1484 1481 1519 1487 393 586 839 1419 2398 4710 9098 15033 13325 7087 10363 12232 8707 5111 2823 4568 5635 5825 4915 3787 2636 1822 1310 892 684 1304 1449 1452 1569 1514 
86 113 155 244 393 697 1358 3176 9637 30791 27041 24866 5560 1939 868 3738 3319 2790 2137 1563 1205 914 648 519 401 926 918 980 1091 1086 153 182 291 380 622 1123 2319 5848 19735 29677 42144 12143 3567 1442 768 3764 3669 3212 2492 1832 1423 1087 792 634 466 864 941 959 1023 1018 101 170 219 330 494 876 1620 3658 10620 33522 30367 27353 6511 2314 1125 3844 3634 2945 2359 1779 1306 1003 778 554 463 982 1067 1021 1193 1100 110 170 226 371 590 1058 2293 5952 21132 31548 45802 12830 3549 1400 716 4116 3993 3496 2824 2130 1519 1194 863 667 530 948 998 1091 1161 1186 
639 1100 1929 3651 7784 14368 13546 6920 3288 1747 3354 3568 3472 2989 2409 2006 2856 3903 4577 4784 4042 3147 2164 1501 1114 1855 2181 2317 2455 2217 908 1625 2744 5757 11673 16257 10412 5040 2473 1442 3549 3775 3445 2743 2176 1880 2522 3590 4464 4973 4761 3723 2643 1876 1351 1778 2024 2349 2432 2467 806 1225 2188 4231 8695 16174 14996 7716 3676 1977 3715 3943 3990 3366 2587 2310 3104 4197 5217 5162 4402 3403 2473 1787 1264 1934 2284 2668 2558 2555 997 1678 3075 6216 12999 18120 11675 5364 2680 1402 4034 4342 3783 2915 2336 1996 2843 3895 5011 5532 5236 4060 3093 2167 1470 1880 2269 2601 2706 2731 
1827 9671 80560 6506 1515 630 290 168 103 76 1472 1397 1370 1122 1091 704 998 1230 1611 2076 2465 2948 3124 3161 2664 1705 2810 4802 7671 9520 4484 38993 24393 3512 1166 517 283 145 94 74 1491 1451 1362 1199 1002 663 783 1136 1510 1884 2392 2901 3193 3253 2944 1421 2279 3779 6359 9143 2428 11372 89705 8112 1989 741 382 207 122 94 1542 1543 1456 1376 1197 851 1037 1372 1715 2214 2746 3252 3362 3397 2888 1822 2951 5152 8320 10225 4084 41185 24957 3186 1020 439 251 135 81 61 1654 1595 1466 1293 1179 703 891 1224 1576 2046 2693 3135 3482 3505 3143 1542 2484 4123 6951 10080 
590 717 1037 1319 1959 2437 3108 3647 3807 3468 1717 2740 5064 8312 9823 8534 25290 17346 5573 2167 1098 566 350 258 170 1452 1274 1274 1285 1007 764 928 1324 1726 2381 3096 3631 4113 3974 3366 2432 4021 7206 10223 9812 5657 17357 29538 10869 3831 1726 959 559 340 230 1551 1465 1418 1336 1145 662 881 1141 1564 2121 2894 3678 4038 4249 3775 1917 3339 5667 9328 11151 10178 29333 20457 6604 2707 1361 752 456 293 203 1591 1538 1527 1348 1208 795 949 1372 1884 2434 3249 4052 4325 4258 3491 2588 4413 7560 11086 10990 5877 18539 30926 10900 3850 1668 941 521 330 225 1592 1700 1559 1437 1279 
414 516 704 874 1312 1747 2598 3305 4164 4493 1248 2690 7259 23430 21210 17109 11205 4977 2448 1323 731 483 339 255 169 1065 1130 1032 966 941 490 627 797 1120 1486 2243 3088 4115 4598 4553 1992 4577 13998 30627 12412 15367 16156 7979 3634 1784 1113 661 447 299 218 1037 1090 1083 1019 959 422 618 774 1035 1382 1966 2689 3743 4565 4976 1458 3066 8280 26303 24062 19348 12638 5744 2808 1468 895 568 426 292 197 1153 1226 1182 1099 1013 555 684 914 1224 1674 2407 3315 4342 4952 5162 2071 4816 15031 33131 13122 16886 17566 8568 3864 1964 1095 681 450 311 215 1192 1214 1184 1187 1063 
479 619 787 1062 1283 1687 2274 2724 3241 3261 757 1358 2871 7913 22954 57819 12689 2539 955 460 273 157 104 71 64 1113 1085 999 997 837 499 651 860 1114 1478 1902 2396 2904 3220 3155 1085 2086 4875 14359 26740 23302 38648 5913 1813 792 420 258 149 130 79 1082 1049 1050 974 863 540 645 848 1133 1403 1885 2384 3147 3552 3692 928 1705 3515 8970 26126 65809 15163 3394 1293 616 379 222 147 107 69 1260 1231 1191 1057 987 597 728 962 1278 1733 2241 2888 3322 3662 3701 1177 2335 5516 16139 30520 25417 43931 5975 1783 760 381 246 144 104 77 1316 1379 1192 1137 1042 
