-289 100
280 -92
-19 67
-74 97
61 -107
264 94
162 30
260 90
208 -81
-84 -124
-82 -132
-40 -34
-198 -87
75 -44
-268 138
-257 -93
155 56
-88 96
-191 137
-294 102
-101 -47
243 -15
114 135
-18 -15
-193 -77
-66 -86
272 -135
-104 21
137 -32
25 -16
-157 -86
108 70
-189 117
23 -141
235 -11
65 -61
-181 -27
208 25
-208 -76
33 -102
-199 52
-258 -102
-269 99
-142 -1
163 -79
-235 -36
97 -59
109 -118
214 -144
-257 18
183 -3
-252 -48
-9 -126
-73 -130
-185 -35
199 -104
243 124
219 -78
-93 90
246 -91
-293 7
115 -129
-113 -16
88 -19
173 35
-141 67
268 107
-87 134
-59 -98
-179 -105
-93 71
62 -101
134 19
171 18
-109 -40
234 17
-215 98
31 143
-144 3
-46 17
25 -80
-86 64
-161 11
-143 50
-220 116
-110 27
-218 64
-112 19
-184 -41
-170 2
-145 70
-71 26
-52 6
