260 -113
-43 60
-279 36
184 -54
266 -107
40 -65
-170 -137
177 101
253 72
248 129
61 99
-61 -61
-24 -97
79 -43
-148 -45
-287 132
-45 55
-179 -115
-8 -99
83 138
-98 -2
39 -117
-269 56
141 81
-220 131
-102 75
-139 -100
-133 121
51 104
-91 -17
-271 64
95 -69
-274 -61
-249 57
-197 -48
-100 8
-11 -128
-290 -118
-189 78
-212 63
-56 -18
187 -62
-34 -74
-243 10
-265 133
-63 -127
-108 17
50 141
-216 122
-110 -69
24 -130
-259 4
-25 -80
209 -11
121 -145
-236 -47
-288 -68
6 52
26 -50
-115 -61
233 -110
-108 2
-276 -120
-233 64
-247 -99
69 -121
-16 -33
286 -106
50 -19
-63 -8
187 105
88 115
26 -111
-250 -33
-157 -46
287 -32
41 4
71 117
-16 32
207 -65
234 -73
158 64
75 -33
227 77
-2 129
277 -31
-196 102
156 -62
105 23
-145 12
166 101
162 105
-269 58
