-3 -83
40 64
-101 94
-170 11
-231 -127
-149 -92
110 82
-21 49
-65 -85
-153 -59
33 35
-42 73
51 19
194 116
275 140
110 -90
192 -15
-276 74
-33 -23
-158 -129
-119 -56
211 13
28 131
-196 -136
-271 -48
154 -145
-35 -36
52 -104
-48 113
15 -85
-1 -39
-107 -41
22 -71
-253 -36
103 -2
-290 61
294 37
68 -8
223 120
-268 42
279 102
-164 84
-244 121
285 7
-151 -109
83 -10
-215 -58
35 -47
-1 28
-136 108
-4 -53
-3 24
-82 74
13 92
-161 -144
118 53
-203 -39
-4 -103
28 -65
-88 -104
-235 101
239 -133
-185 -127
69 99
-184 -29
-273 -49
207 -46
-253 -16
17 62
256 -120
