22 34
108 124
217 -145
-175 -53
176 -114
292 -54
-112 85
-109 -80
133 15
265 32
286 7
-134 141
266 67
270 -42
132 77
-68 -143
180 -18
236 -28
158 -129
289 -43
-127 -90
-165 133
23 11
256 63
-229 4
193 -2
-165 -87
47 24
275 -7
-225 137
104 -24
154 123
186 69
293 -93
-193 -119
137 -125
205 -30
-287 75
166 112
-99 83
-245 21
-188 46
214 10
49 -38
-155 -90
173 -83
65 -117
-169 109
181 143
129 141
-144 -125
-176 -64
-49 -56
223 -137
170 64
158 7
75 -22
10 112
-285 122
281 -34
212 55
123 -143
-233 -106
224 101
-216 93
-165 -56
-148 -137
283 -138
-39 70
163 -102
203 72
-125 -111
142 -74
-248 -106
8 -48
134 -119
228 51
239 117
248 -33
52 29
148 -124
-247 87
-95 -83
233 -88
176 -55
9 -99
177 -8
-160 -51
-101 -32
-151 110
90 -4
284 -126
-171 -144
