167 71
216 -76
-220 79
-74 -144
141 -19
247 25
71 51
159 106
2 -5
-162 14
104 135
254 -76
-292 145
40 135
59 -127
-59 -65
-40 52
-247 -9
-154 7
-10 -30
-146 -58
-285 -67
-72 -57
19 121
-79 -87
44 -143
291 39
227 -65
4 -16
-166 95
-37 78
-169 97
279 -94
-247 -142
230 130
-61 -122
203 107
-191 76
-41 -128
112 -114
-164 141
257 -141
192 -36
105 66
-78 113
-77 113
84 -78
-279 80
-261 -109
-262 69
-158 37
272 144
91 89
58 -34
135 139
279 71
97 -43
-13 -110
-199 -41
221 99
-180 128
288 -32
268 133
67 -78
-279 46
166 -98
-109 -18
-275 66
-136 -131
213 -92
-243 66
176 -28
-211 -116
-103 46
291 -114
185 136
65 -30
-146 10
292 -128
226 73
-198 70
-122 66
-44 13
-206 -15
125 -86
-287 -117
-134 104
213 -8
-92 -27
-228 -71
-291 130
-241 71
233 -6
